id,flashscore_url,club_domaci,club_hostia,match_date,match_time,match_stadium
1,https://www.flashscore.com/match/football/aek-ANpZncAM/lask-linz-MipWYeKQ/?mid=EgODGq9F,AEK Athens,LASK,08.09.2026,18:45,Allwyn Arena
2,https://www.flashscore.com/match/football/aston-villa-W00wmLO0/club-brugge-rgTHIK74/?mid=hYMyrzBC,Club Brugge KV,Aston Villa,08.09.2026,18:45,Jan Breydel Stadion
3,https://www.flashscore.com/match/football/dortmund-nP1i5US1/villarreal-lUatW5jE/?mid=lGdh9XQ8,Dortmund,Villarreal,08.09.2026,21:00,Signal Iduna Park
4,https://www.flashscore.com/match/football/fc-porto-S2NmScGp/manchester-city-Wtn9Stg0/?mid=SYL9LRdk,FC Porto,Manchester City,08.09.2026,21:00,Estádio do Dragão
5,https://www.flashscore.com/match/football/betis-vJbTeCGP/lille-pfDZL71o/?mid=StY6NNoJ,Lille,Betis,08.09.2026,21:00,Stade Pierre-Mauroy
6,https://www.flashscore.com/match/football/inter-Iw7eKK25/real-madrid-W8mj7MDD/?mid=foBRjez1,Real Madrid,Inter,08.09.2026,21:00,Estadio Santiago Bernabéu
7,https://www.flashscore.com/match/football/barcelona-SKbpVP5K/feyenoord-8zjySeoN/?mid=nD1UprQ0,Barcelona,Feyenoord,09.09.2026,18:45,Camp Nou
8,https://www.flashscore.com/match/football/vfb-stuttgart-nJQmYp1B/viking-bXAgOWwb/?mid=xUAf7KE4,Stuttgart,Viking,09.09.2026,18:45,MHPArena
9,https://www.flashscore.com/match/football/atl-madrid-jaarqpLQ/liverpool-lId4TMwf/?mid=6aa0PFtQ,Liverpool,Atl. Madrid,09.09.2026,21:00,Anfield
10,https://www.flashscore.com/match/football/arsenal-hA1Zm19f/napoli-69Dxbc61/?mid=juiAv14K,Napoli,Arsenal,09.09.2026,21:00,Stadio Diego Armando Maradona
11,https://www.flashscore.com/match/football/psg-CjhkPw0k/slovan-bratislava-QRaWdwQf/?mid=vRfGDXa4,PSG,Slovan Bratislava,09.09.2026,21:00,Parc des Princes
12,https://www.flashscore.com/match/football/galatasaray-riaqqurF/sporting-cp-tljXuHBC/?mid=QaIiWiUj,Sporting CP,Galatasaray,09.09.2026,21:00,Estádio José Alvalade
13,https://www.flashscore.com/match/football/as-roma-zVqqL0ma/fenerbahce-MsbmracL/?mid=p4qtPzNN,Fenerbahce,AS Roma,10.09.2026,18:45,Chobani Stadium Fenerbahce Sukru Saracoglu
14,https://www.flashscore.com/match/football/psv-M9UEHJWi/shakhtar-4ENWX2OA/?mid=UTCOpiqp,PSV,Shakhtar Donetsk,10.09.2026,18:45,Philips Stadion
15,https://www.flashscore.com/match/football/bayern-munich-nVp0wiqd/bodo-glimt-S0WZMUNG/?mid=21qdVdR6,Bayern Munich,Bodo/Glimt,10.09.2026,21:00,Allianz Arena
16,https://www.flashscore.com/match/football/como-ttyLthOA/rb-leipzig-KbS1suSm/?mid=WhVkZZ2L,Como,RB Leipzig,10.09.2026,21:00,Mapei Stadium / Stadio Giuseppe Sinigaglia
17,https://www.flashscore.com/match/football/manchester-united-ppjDR086/sabah-baku-fNGcxbyr/?mid=EwQ5ud74,Manchester Utd,Sabah Baku,10.09.2026,21:00,Old Trafford
18,https://www.flashscore.com/match/football/lens-IBmris38/slavia-prague-viXGgnyB/?mid=YepM57w0,Slavia Prague,Lens,10.09.2026,21:00,Fortuna Arena
19,https://www.flashscore.com/match/football/lens-IBmris38/sporting-cp-tljXuHBC/?mid=boMhjDLM,Lens,Sporting CP,13.10.2026,18:45,Stade Bollaert-Delelis
20,https://www.flashscore.com/match/football/sabah-baku-fNGcxbyr/slavia-prague-viXGgnyB/?mid=69rU3o8C,Sabah Baku,Slavia Prague,13.10.2026,18:45,Bank Respublika Arena
